Москва	55° 45'	37° 37'
Санкт-Петербург	59° 56'	30° 19'
Новосибирск	55° 1'	82° 56'
Екатеринбург	56° 51'	60° 36'
Самара	53° 14'	50° 10'
Омск	54° 59'	73° 22'
Казань	55° 47'	49° 10'
Уфа	54° 49'	56° 4'
Челябинск	55° 9'	61° 26'
Ростов-на-Дону	47° 14'	39° 42'
Пермь	58° 0'	56° 14'
Волгоград	48° 43'	44° 29'
Воронеж	51° 43'	39° 16'
Красноярск	56° 1'	93° 4'
Саратов	51° 33'	46° 0'
Тольятти	53° 29'	49° 31'
Ульяновск	54° 19'	48° 22'
Ижевск	56° 50'	53° 11'
Краснодар	45° 2'	38° 58'
Ярославль	57° 37'	39° 51'
Хабаровск	48° 25'	135° 7'
Владивосток	43° 8'	131° 54'
Иркутск	52° 20'	104° 14'
Барнаул	53° 21'	83° 45'
Новокузнецк	53° 45'	87° 7'
Липецк	52° 37'	39° 37'
Пенза	53° 12'	45° 0'
Рязань	54° 36'	39° 42'
Оренбург	51° 47'	55° 6'
Набережные Челны	55° 41'	52° 19'
Тюмень	57° 10'	65° 30'
Тула	54° 13'	37° 36'
Кемерово	55° 25'	86° 5'
Астрахань	46° 22'	48° 5'
Томск	56° 29'	84° 59'
Киров	58° 36'	49° 39'
Чебоксары	56° 8'	47° 14'
Брянск	53° 16'	34° 25'
Иваново	57° 1'	40° 59'
Тверь	 56° 52'	35° 55'
Курск	 51° 44'	36° 11'
Магнитогорск	 53° 25'	58° 58'
Калининград	 54° 43'	20° 31'
Нижний Тагил	 57° 56'	60° 1'
Улан-Удэ	51° 50'	107° 36'
Сочи	43° 35'	39° 44'
Курган	 55° 26'	65° 19'
Мурманск	 68° 58'	33° 5'
Архангельск	 64° 32'	40° 32'
Смоленск	 54° 47'	32° 3'
Белгород	 50° 37'	36° 35'
Ставрополь	 45° 3'	41° 58'
Орёл	 52° 58'	36° 4'
Калуга	 54° 32'	36° 17'
Владимир	 56° 9'	40° 25'
Махачкала	 42° 59'	47° 31'
Череповец	 59° 8'	37° 55'
Владикавказ	 43° 2'	44° 40'
Саранск	 54° 11'	45° 10'
Тамбов	 52° 43'	41° 25'
Чита	 52° 3'	113° 28'
Вологда	 59° 14'	39° 54'
Кострома	 57° 46'	40° 56'
Комсомольск-на-Амуре	 50° 34'	137° 0'
Волжский	 48° 49'	44° 44'
Таганрог	 47° 14'	38° 54'
Петрозаводск	 61° 47'	34° 20'
Братск	 56° 18'	101° 43'
Сургут	 61° 15'	73° 23'
Дзержинск	 56° 16'	43° 24'
Орск	 51° 13'	58° 38'
Стерлитамак	 53° 38'	55° 57'
Ангарск	 52° 34'	103° 55'
Йошкар-Ола	 56° 38'	47° 52'
Рыбинск	 58° 3'	38° 50'
Прокопьевск	 53° 54'	86° 43'
Нижневартовск	 60° 56'	76° 32'
Великий Новгород	 58° 32'	31° 16'
Сыктывкар	 61° 40'	50° 49'
Нижнекамск	 55° 38'	51° 47'
Бийск	 52° 32'	85° 10'
Благовещенск	 50° 17'	127° 32'
Северодвинск	 64° 34'	39° 49'
Шахты	 47° 41'	40° 15'
Старый Оскол	 51° 18'	37° 50'
Зеленоград	 55° 56'	37° 17'
Новороссийск	 44° 43'	37° 46'
Балаково	 52° 0'	47° 47'
Псков	 57° 49'	28° 20'
Златоуст	 55° 11'	59° 38'
Якутск	 62° 10'	129° 50'
Подольск	 55° 26'	37° 34'
Энгельс	 51° 29'	46° 8'
Сызрань	 53° 10'	48° 27'
Каменск-Уральский	 56° 25'	61° 56'
Петропавловск-Камчатский	 53° 2'	158° 38'
Новочеркасск	 47° 25'	40° 5'
Березники	 59° 25'	56° 46'
Южно-Сахалинск	 46° 58'	142° 44'
Волгодонск	 47° 31'	42° 8'
Абакан	 53° 44'	91° 26'
Обнинск	 55° 6'	36° 37'
